filename,config_num,distribution_group,regular_info_count,misinformation_count,total_posts,num_agents,run_mean_raw_diff,run_median_raw_diff,run_pct_positive_raw,run_std_raw_diff,run_mean_norm_diff,run_median_norm_diff,run_pct_positive_norm,run_std_norm_diff,normal_run_mean_norm_diff,normal_run_median_norm_diff,normal_run_pct_positive_norm,normal_n_agents,gullible_run_mean_norm_diff,gullible_run_median_norm_diff,gullible_run_pct_positive_norm,gullible_n_agents,stubborn_run_mean_norm_diff,stubborn_run_median_norm_diff,stubborn_run_pct_positive_norm,stubborn_n_agents
hyp2-config-0s-0.json,0,random,156,432,588,300,432.1666666666667,249.5,1.0,814.7377353974042,-0.6279071699905032,-0.3891559829059829,0.043333333333333335,0.740785030474078,-0.31449252136752137,-0.27857905982905984,0.03,100,-0.2180074786324786,-0.14975071225071218,0.06,100,-1.35122150997151,-1.4583333333333333,0.04,100
hyp2-config-100s-0.json,100,equal,50,450,500,300,774.3566666666667,395.0,1.0,1159.134276240999,-0.825162962962963,-0.6333333333333333,0.05333333333333334,0.9667400514323929,-0.5055777777777777,-0.3944444444444444,0.06,100,-0.34357777777777776,-0.36666666666666675,0.05,100,-1.6263333333333332,-1.718888888888889,0.05,100
hyp2-config-101s-0.json,101,equal,50,450,500,300,763.9433333333334,400.0,1.0,1116.2372682000084,-0.2952962962962963,-0.21666666666666667,0.09666666666666666,0.5529686768687979,-0.11615555555555555,-0.08000000000000007,0.13,100,-0.11724444444444444,-0.08111111111111119,0.13,100,-0.6524888888888889,-0.5655555555555556,0.03,100
hyp2-config-102s-0.json,102,equal,50,450,500,300,708.3466666666667,396.0,1.0,1143.614255349687,-0.9152,-0.5211111111111111,0.04,1.0711685341205783,-0.4525111111111111,-0.3111111111111111,0.05,100,-0.42297777777777784,-0.27222222222222225,0.02,100,-1.8701111111111113,-1.9611111111111108,0.05,100
hyp2-config-103s-0.json,103,equal,50,450,500,300,736.3233333333334,401.0,1.0,1242.4820794878224,-0.7224222222222223,-0.3555555555555556,0.04666666666666667,1.0342894013544564,-0.29104444444444444,-0.23888888888888893,0.03,100,-0.1782222222222222,-0.21999999999999997,0.06,100,-1.6979999999999997,-1.6755555555555557,0.05,100
hyp2-config-104s-0.json,104,equal,50,450,500,300,715.4666666666667,425.5,1.0,880.254631499589,-0.4862222222222222,-0.3833333333333334,0.02666666666666667,0.5181809840857285,-0.3842222222222222,-0.33444444444444443,0.01,100,-0.3612888888888889,-0.32000000000000006,0.04,100,-0.7131555555555557,-0.5277777777777777,0.03,100
hyp2-config-105s-0.json,105,equal,50,450,500,300,747.82,422.5,1.0,993.2302226492842,-0.3930518518518519,-0.12222222222222223,0.14666666666666667,0.6856752121064611,-0.1147111111111111,-0.04555555555555557,0.27,100,-0.1998666666666667,-0.09000000000000008,0.08,100,-0.8645777777777778,-0.8488888888888888,0.09,100
hyp2-config-106s-0.json,106,equal,50,450,500,300,657.0966666666667,397.5,1.0,988.3587019572758,-0.5736222222222221,-0.5322222222222222,0.07666666666666666,0.6118825566227719,-0.48213333333333336,-0.4788888888888889,0.15,100,-0.3182222222222222,-0.2811111111111112,0.06,100,-0.9205111111111112,-0.9166666666666663,0.02,100
hyp2-config-107s-0.json,107,equal,50,450,500,300,739.6666666666666,395.0,1.0,1160.2351460815596,-0.7033777777777778,-0.6466666666666665,0.06,0.7645712658276772,-0.39833333333333343,-0.3933333333333332,0.07,100,-0.4729555555555555,-0.37222222222222223,0.07,100,-1.2388444444444444,-1.0622222222222222,0.04,100
hyp2-config-108s-0.json,108,equal,50,450,500,300,780.1333333333333,402.0,1.0,1131.886788166692,-0.39543703703703703,-0.38222222222222235,0.043333333333333335,0.5547937273277214,-0.28500000000000003,-0.31666666666666654,0.05,100,-0.36428888888888883,-0.32444444444444454,0.05,100,-0.5370222222222223,-0.5477777777777777,0.03,100
