distribution_group,agent_classification,mean,median,std,count
equal,gullible,-0.3073875555555556,-0.21999999999999997,0.5135568203227461,5000
equal,normal,-0.3491351111111111,-0.2466666666666667,0.5574258616653532,5000
equal,stubborn,-1.1687395555555555,-1.0733333333333333,0.959103258607845,5000
misinfo_gt,gullible,-0.27747688888888894,-0.21999999999999997,0.45419132642348337,5000
misinfo_gt,normal,-0.35193288888888885,-0.28,0.48831915337561893,5000
misinfo_gt,stubborn,-1.1828084444444444,-1.1555555555555554,0.7863955079883351,5000
random,gullible,-0.2831217369927728,-0.21198283815211594,0.4496660774428531,5000
random,normal,-0.3552620837122215,-0.28037132846929946,0.49106722327474833,5000
random,stubborn,-1.1626882217414727,-1.170197668909027,0.7442717143830783,5000
real_gt,gullible,-0.31220134574036673,-0.24323176205681662,0.4438089297790301,5000
real_gt,normal,-0.3783966103206723,-0.32270002302655754,0.4816223094542124,5000
real_gt,stubborn,-1.2407813400707768,-1.2245092037121945,0.7218249073751039,5000
