group1,group2,t_stat,p_raw,p_holm
random,misinfo_gt,0.12491423187624835,0.9008474389104565,1.0
random,equal,0.17760317706789436,0.8595241616676349,1.0
random,real_gt,1.7933091967547679,0.07671016966465469,0.4602610179879281
misinfo_gt,equal,0.09534733295099211,0.9242958608603207,1.0
misinfo_gt,real_gt,1.614989238268678,0.1103073216975061,0.5515366084875305
equal,real_gt,0.838053982687428,0.40543166409553666,1.0
