metric,distribution_group,n_runs,sample_mean,sample_median,sample_sd,ttest_t,ttest_p_one_tailed,ttest_cohen_d,wilcoxon_stat,wilcoxon_p_one_tailed
run_median_raw_diff,random,50,277.52,276.5,41.489728259177696,47.29755584057902,7.41784666408941e-43,6.688884493684565,1275.0,3.777610438190336e-10
run_median_raw_diff,misinfo_gt,50,276.26,277.5,13.454473499281091,145.18986520062154,1.6006699577615564e-66,20.53294764858404,1275.0,3.758009594083936e-10
run_median_raw_diff,equal,50,403.66,399.75,12.53991179215795,227.61780786389645,4.471297750972668e-76,32.19001909187557,1275.0,3.733425712809363e-10
run_median_raw_diff,real_gt,50,-392.9,-390.0,51.48498889611081,-53.96179746465504,1.0,-7.631350582454524,0.0,0.9999999996224951
