run_id,test_case,seed,dist_index,agent_distribution,red_ratio,centrist_ratio,blue_ratio,post_id,post_belief_value,post_camp,growth_rate,decay_rate
0s0,0,0,0,4-1-1,4,1,1,post_0,-4,red,10.49090909090909,0.0
0s0,0,0,0,4-1-1,4,1,1,post_1,-4,red,10.138339920948617,0.0
0s0,0,0,0,4-1-1,4,1,1,post_2,-4,red,11.627272727272727,0.0
0s0,0,0,0,4-1-1,4,1,1,post_3,-3,red,10.696992481203008,0.0
0s0,0,0,0,4-1-1,4,1,1,post_4,-3,red,10.480519480519481,0.0
0s0,0,0,0,4-1-1,4,1,1,post_5,-3,red,11.441558441558442,0.0
0s0,0,0,0,4-1-1,4,1,1,post_6,-2,red,10.714285714285717,0.0
0s0,0,0,0,4-1-1,4,1,1,post_7,-2,red,10.342857142857143,0.0
0s0,0,0,0,4-1-1,4,1,1,post_8,-2,red,10.680451127819548,0.0
0s0,0,0,0,4-1-1,4,1,1,post_9,-1,centrist,9.432467532467532,0.0
0s0,0,0,0,4-1-1,4,1,1,post_10,-1,centrist,8.50017094017094,0.0
0s0,0,0,0,4-1-1,4,1,1,post_11,-1,centrist,8.341269841269842,0.0
0s0,0,0,0,4-1-1,4,1,1,post_12,0,centrist,11.967532467532468,0.0
0s0,0,0,0,4-1-1,4,1,1,post_13,0,centrist,11.995488721804511,0.0
0s0,0,0,0,4-1-1,4,1,1,post_14,0,centrist,12.96315789473684,0.0
0s0,0,0,0,4-1-1,4,1,1,post_15,1,centrist,10.670129870129871,0.0
0s0,0,0,0,4-1-1,4,1,1,post_16,1,centrist,11.984962406015038,0.0
0s0,0,0,0,4-1-1,4,1,1,post_17,1,centrist,12.326315789473686,0.0
0s0,0,0,0,4-1-1,4,1,1,post_18,2,blue,5.886837606837608,0.0
0s0,0,0,0,4-1-1,4,1,1,post_19,2,blue,7.202307692307692,0.0
0s0,0,0,0,4-1-1,4,1,1,post_20,2,blue,9.937662337662337,0.0
0s0,0,0,0,4-1-1,4,1,1,post_21,3,blue,6.983488132094943,0.0
0s0,0,0,0,4-1-1,4,1,1,post_22,4,blue,1.2941508104298802,0.0
0s0,0,0,0,4-1-1,4,1,1,post_23,-4,red,6.351648351648352,0.0
0s0,0,0,0,4-1-1,4,1,1,post_24,-3,red,10.111688311688312,0.0
0s0,0,0,0,4-1-1,4,1,1,post_25,-3,red,12.899248120300753,0.0
0s0,0,0,0,4-1-1,4,1,1,post_26,-3,red,11.470676691729324,0.0
0s0,0,0,0,4-1-1,4,1,1,post_27,-2,red,10.180701754385963,0.0
0s0,0,0,0,4-1-1,4,1,1,post_28,-1,centrist,12.611688311688312,0.0
0s0,0,0,0,4-1-1,4,1,1,post_29,-1,centrist,11.731168831168832,0.0
0s0,0,0,0,4-1-1,4,1,1,post_30,-1,centrist,11.3,0.0
0s0,0,0,0,4-1-1,4,1,1,post_31,0,centrist,4.278629032258064,0.0
0s0,0,0,0,4-1-1,4,1,1,post_32,1,centrist,11.226006191950464,0.0
0s0,0,0,0,4-1-1,4,1,1,post_33,2,blue,10.359133126934985,0.0
0s0,0,0,0,4-1-1,4,1,1,post_34,3,blue,11.455844155844153,0.0
0s0,0,0,0,4-1-1,4,1,1,post_35,3,blue,12.453383458646618,0.0
0s0,0,0,0,4-1-1,4,1,1,post_36,3,blue,13.60075187969925,0.0
0s0,0,0,0,4-1-1,4,1,1,post_37,4,blue,11.745098039215685,0.0
0s0,0,0,0,4-1-1,4,1,1,post_38,-4,red,12.010526315789471,0.0
0s0,0,0,0,4-1-1,4,1,1,post_39,-4,red,13.077399380804955,0.0
0s0,0,0,0,4-1-1,4,1,1,post_40,-4,red,10.534586466165415,0.0
0s0,0,0,0,4-1-1,4,1,1,post_41,-3,red,9.810526315789474,0.0
0s0,0,0,0,4-1-1,4,1,1,post_42,-2,red,6.3307692307692305,0.0
0s0,0,0,0,4-1-1,4,1,1,post_43,-1,centrist,10.710526315789474,0.0
0s0,0,0,0,4-1-1,4,1,1,post_44,0,centrist,8.417293233082706,0.0
0s0,0,0,0,4-1-1,4,1,1,post_45,1,centrist,7.381739130434783,0.0
0s0,0,0,0,4-1-1,4,1,1,post_46,2,blue,2.2119487908961597,0.0
0s0,0,0,0,4-1-1,4,1,1,post_47,3,blue,9.101754385964911,0.0
0s0,0,0,0,4-1-1,4,1,1,post_48,4,blue,4.67608695652174,0.0
0s0,0,0,0,4-1-1,4,1,1,post_49,-4,red,6.437662337662338,0.0
0s0,0,0,0,4-1-1,4,1,1,post_50,-3,red,5.434865900383142,0.0
0s0,0,0,0,4-1-1,4,1,1,post_51,-2,red,8.557894736842105,0.0
0s0,0,0,0,4-1-1,4,1,1,post_52,-2,red,9.979220779220778,0.0
0s0,0,0,0,4-1-1,4,1,1,post_53,-2,red,11.48421052631579,0.0
0s0,0,0,0,4-1-1,4,1,1,post_54,-1,centrist,11.82077922077922,0.0
0s0,0,0,0,4-1-1,4,1,1,post_55,-1,centrist,12.49298245614035,0.0
0s0,0,0,0,4-1-1,4,1,1,post_56,-1,centrist,11.44935064935065,0.0
0s0,0,0,0,4-1-1,4,1,1,post_57,0,centrist,9.778195488721805,0.0
0s0,0,0,0,4-1-1,4,1,1,post_58,1,centrist,11.370485036119712,0.0
0s0,0,0,0,4-1-1,4,1,1,post_59,2,blue,11.603896103896103,0.0
0s0,0,0,0,4-1-1,4,1,1,post_60,2,blue,13.076623376623376,0.0
0s0,0,0,0,4-1-1,4,1,1,post_61,2,blue,12.490977443609024,0.0
0s0,0,0,0,4-1-1,4,1,1,post_62,3,blue,6.012987012987013,0.0
0s0,0,0,0,4-1-1,4,1,1,post_63,4,blue,9.167532467532467,0.0
0s0,0,0,0,4-1-1,4,1,1,post_64,4,blue,11.648051948051949,0.0
0s0,0,0,0,4-1-1,4,1,1,post_65,4,blue,11.312987012987014,0.0
0s1,0,1,0,4-1-1,4,1,1,post_0,-4,red,12.731578947368423,0.0
0s1,0,1,0,4-1-1,4,1,1,post_1,-4,red,9.40513833992095,0.0
0s1,0,1,0,4-1-1,4,1,1,post_2,-4,red,11.438961038961038,0.0
0s1,0,1,0,4-1-1,4,1,1,post_3,-3,red,10.215037593984963,0.0
0s1,0,1,0,4-1-1,4,1,1,post_4,-3,red,11.233766233766234,0.0
0s1,0,1,0,4-1-1,4,1,1,post_5,-3,red,11.784415584415585,0.0
0s1,0,1,0,4-1-1,4,1,1,post_6,-2,red,10.257481648785998,0.0
0s1,0,1,0,4-1-1,4,1,1,post_7,-2,red,5.804032258064516,0.0
0s1,0,1,0,4-1-1,4,1,1,post_8,-2,red,11.571428571428571,0.0
0s1,0,1,0,4-1-1,4,1,1,post_9,-1,centrist,9.76849237718803,0.0
0s1,0,1,0,4-1-1,4,1,1,post_10,-1,centrist,10.576623376623377,0.0
0s1,0,1,0,4-1-1,4,1,1,post_11,-1,centrist,12.594736842105265,0.0
0s1,0,1,0,4-1-1,4,1,1,post_12,0,centrist,12.103896103896101,0.0
0s1,0,1,0,4-1-1,4,1,1,post_13,0,centrist,11.096103896103896,0.0
0s1,0,1,0,4-1-1,4,1,1,post_14,0,centrist,12.864935064935064,0.0
0s1,0,1,0,4-1-1,4,1,1,post_15,1,centrist,11.644155844155843,0.0
0s1,0,1,0,4-1-1,4,1,1,post_16,1,centrist,12.078486730660645,0.0
0s1,0,1,0,4-1-1,4,1,1,post_17,1,centrist,12.81948051948052,0.0
0s1,0,1,0,4-1-1,4,1,1,post_18,2,blue,4.853189149560118,0.0
0s1,0,1,0,4-1-1,4,1,1,post_19,2,blue,7.633076923076923,0.0
0s1,0,1,0,4-1-1,4,1,1,post_20,2,blue,10.92987012987013,0.0
0s1,0,1,0,4-1-1,4,1,1,post_21,3,blue,4.971304347826087,0.0
0s1,0,1,0,4-1-1,4,1,1,post_22,4,blue,2.0521938942991573,0.0
0s1,0,1,0,4-1-1,4,1,1,post_23,-4,red,7.362637362637363,0.0
0s1,0,1,0,4-1-1,4,1,1,post_24,-3,red,10.278938452851497,0.0
0s1,0,1,0,4-1-1,4,1,1,post_25,-3,red,12.872727272727273,0.0
0s1,0,1,0,4-1-1,4,1,1,post_26,-3,red,10.394127611518917,0.0
0s1,0,1,0,4-1-1,4,1,1,post_27,-2,red,10.668421052631578,0.0
0s1,0,1,0,4-1-1,4,1,1,post_28,-1,centrist,12.988311688311688,0.0
0s1,0,1,0,4-1-1,4,1,1,post_29,-1,centrist,12.227272727272728,0.0
0s1,0,1,0,4-1-1,4,1,1,post_30,-1,centrist,13.08872180451128,0.0
0s1,0,1,0,4-1-1,4,1,1,post_31,0,centrist,4.800985221674877,0.0
0s1,0,1,0,4-1-1,4,1,1,post_32,1,centrist,9.583458646616542,0.0
0s1,0,1,0,4-1-1,4,1,1,post_33,2,blue,6.883076923076924,0.0
0s1,0,1,0,4-1-1,4,1,1,post_34,3,blue,11.97012987012987,0.0
0s1,0,1,0,4-1-1,4,1,1,post_35,3,blue,11.636842105263158,0.0
0s1,0,1,0,4-1-1,4,1,1,post_36,3,blue,12.101637492941842,0.0
0s1,0,1,0,4-1-1,4,1,1,post_37,4,blue,11.256140350877192,0.0
0s1,0,1,0,4-1-1,4,1,1,post_38,-4,red,6.197177419354839,0.0
0s1,0,1,0,4-1-1,4,1,1,post_39,-4,red,11.287012987012988,0.0
0s1,0,1,0,4-1-1,4,1,1,post_40,-4,red,10.640601503759399,0.0
0s1,0,1,0,4-1-1,4,1,1,post_41,-3,red,9.594736842105261,0.0
0s1,0,1,0,4-1-1,4,1,1,post_42,-2,red,10.028070175438595,0.0
0s1,0,1,0,4-1-1,4,1,1,post_43,-1,centrist,10.216883116883118,0.0
0s1,0,1,0,4-1-1,4,1,1,post_44,0,centrist,6.2374847374847375,0.0
0s1,0,1,0,4-1-1,4,1,1,post_45,1,centrist,11.422807017543859,0.0
0s1,0,1,0,4-1-1,4,1,1,post_46,2,blue,5.318260869565218,0.0
0s1,0,1,0,4-1-1,4,1,1,post_47,3,blue,5.975579975579975,0.0
0s1,0,1,0,4-1-1,4,1,1,post_48,4,blue,4.255172413793103,0.0
0s1,0,1,0,4-1-1,4,1,1,post_49,-4,red,6.596521739130434,0.0
0s1,0,1,0,4-1-1,4,1,1,post_50,-3,red,5.9630769230769225,0.0
0s1,0,1,0,4-1-1,4,1,1,post_51,-2,red,7.822307692307692,0.0
0s1,0,1,0,4-1-1,4,1,1,post_52,-2,red,12.854385964912279,0.0
0s1,0,1,0,4-1-1,4,1,1,post_53,-2,red,5.896260997067449,0.0
0s1,0,1,0,4-1-1,4,1,1,post_54,-1,centrist,12.840259740259741,0.0
0s1,0,1,0,4-1-1,4,1,1,post_55,-1,centrist,13.096491228070175,0.0
0s1,0,1,0,4-1-1,4,1,1,post_56,-1,centrist,12.95639097744361,0.0
0s1,0,1,0,4-1-1,4,1,1,post_57,0,centrist,12.111455108359134,0.0
0s1,0,1,0,4-1-1,4,1,1,post_58,1,centrist,12.549019607843139,0.0
0s1,0,1,0,4-1-1,4,1,1,post_59,2,blue,7.138916256157634,0.0
0s1,0,1,0,4-1-1,4,1,1,post_60,2,blue,13.424561403508768,0.0
0s1,0,1,0,4-1-1,4,1,1,post_61,2,blue,12.174436090225564,0.0
0s1,0,1,0,4-1-1,4,1,1,post_62,3,blue,6.746047430830037,0.0
0s1,0,1,0,4-1-1,4,1,1,post_63,4,blue,11.327272727272728,0.0
0s1,0,1,0,4-1-1,4,1,1,post_64,4,blue,11.44805194805195,0.0
0s1,0,1,0,4-1-1,4,1,1,post_65,4,blue,11.906493506493506,0.0
0s10,0,10,0,4-1-1,4,1,1,post_0,-4,red,11.608771929824561,0.0
0s10,0,10,0,4-1-1,4,1,1,post_1,-4,red,10.77218045112782,0.0
0s10,0,10,0,4-1-1,4,1,1,post_2,-4,red,9.04923076923077,0.0
0s10,0,10,0,4-1-1,4,1,1,post_3,-3,red,9.54025974025974,0.0
0s10,0,10,0,4-1-1,4,1,1,post_4,-3,red,12.419298245614035,0.0
0s10,0,10,0,4-1-1,4,1,1,post_5,-3,red,10.616883116883118,0.0
0s10,0,10,0,4-1-1,4,1,1,post_6,-2,red,10.827819548872181,0.0
0s10,0,10,0,4-1-1,4,1,1,post_7,-2,red,12.25263157894737,0.0
0s10,0,10,0,4-1-1,4,1,1,post_8,-2,red,11.093984962406015,0.0
0s10,0,10,0,4-1-1,4,1,1,post_9,-1,centrist,7.655384615384615,0.0
0s10,0,10,0,4-1-1,4,1,1,post_10,-1,centrist,9.280632411067193,0.0
0s10,0,10,0,4-1-1,4,1,1,post_11,-1,centrist,11.034443817052512,0.0
0s10,0,10,0,4-1-1,4,1,1,post_12,0,centrist,11.155844155844157,0.0
0s10,0,10,0,4-1-1,4,1,1,post_13,0,centrist,10.955639097744362,0.0
0s10,0,10,0,4-1-1,4,1,1,post_14,0,centrist,13.79473684210526,0.0
0s10,0,10,0,4-1-1,4,1,1,post_15,1,centrist,8.216153846153846,0.0
0s10,0,10,0,4-1-1,4,1,1,post_16,1,centrist,8.116923076923078,0.0
0s10,0,10,0,4-1-1,4,1,1,post_17,1,centrist,12.453246753246754,0.0
0s10,0,10,0,4-1-1,4,1,1,post_18,2,blue,5.4734537493158175,0.0
0s10,0,10,0,4-1-1,4,1,1,post_19,2,blue,7.54940170940171,0.0
0s10,0,10,0,4-1-1,4,1,1,post_20,2,blue,6.448549534756431,0.0
0s10,0,10,0,4-1-1,4,1,1,post_21,3,blue,5.010000000000001,0.0
0s10,0,10,0,4-1-1,4,1,1,post_22,4,blue,1.4685195689166195,0.0
